Location,Camera trap no.,Latitude,Longitude,Altitude,Trap location,PA name,Range,Beat,Nearest village,Date of deployment
Gumti,THT04,23.714639,91.766167,184,GUM_KAK_CT1,Gumti,Mungiakami,Kakrachera,Bukho para,19-Mar-24
Gumti,THT07,23.803111,91.776972,,GUM_KAK_CT2,Gumti,Mungiakami,Kakrachera,Nunachora,19-Mar-24
Gumti,THT08,23.803111,91.776972,,GUM_KAK_CT2,Gumti,Mungiakami,Kakrachera,Nunachora,19-Mar-24
Gumti,THT 11,23.806111,91.731111,,GUM_KAK_CT3,Gumti,Mungiakami,Kakrachera,Hakudia,19-Mar-24
Gumti,THT32,23.806111,91.731111,,GUM_KAK_CT3,Gumti,Mungiakami,Kakrachera,Haludia,19-Mar-24
Gumti,THT40,23.783117,91.741467,139,GUM_KAK_CT4,Gumti,Mungiakami,Kakrachera,Tikolpara,19-Mar-24
Gumti,THT38,23.783117,91.741467,139,GUM_KAK_CT4,Gumti,Mungiakami,Kakrachera,Tikolpara,19-Mar-24
Gumti,THT14,23.798583,91.735017,153,GUM_KAK_CT5,Gumti,Mungiakami,Kakrachera,Kakrachera,19-Mar-24
Gumti,THT01,23.765672,91.727386,184,GUM_KAK_CT6,Gumti,Mungiakami,Kakrachera,Datamosampara,19-Mar-24
Gumti,THT09,23.763978,91.730617,203,GUM_KAK_CT5,Gumti,Mungiakami,Kakrachera,Datamosampara,19-Mar-24
Gumti,THT05,23.606,91.753944,138,GUM_SAR_CT1,Gumti,Amarpur,Sarbong,Chandrakumar para,22-Mar-24
Gumti,THT21,23.489864,91.775078,122,GUM_NUT_CT1,Gumti,Amarpur,Nutanbazzar,Tularampara,23-Mar-24
