Sl_no,Project_partner,State,Location,CT_no,Latitude,Longitude,Altitude,Grid_no,CT_loc_ID,PA_name,Range,Beat,Nearest_village,Date_of_Deployment,Habitat_type
69,Policy Advocacy and Reasearch Centre (PARC),Tripura,Ganganagar,THT27,23.7651,91.828367,138,69,GUM_GANG_CT1,Gumti,Ganganagar,Ganganagar,Gumseng,12-03-2024,-
70,Policy Advocacy and Reasearch Centre (PARC),Tripura,Ganganagar,P15,23.744167,91.815,-,70,GUM_GANG_CT2,Gumti,Ganganagar,Ganganagar,Radharambari,12-03-2024,-
71,Policy Advocacy and Reasearch Centre (PARC),Tripura,Radharambari,P19,23.705167,91.79175,116,71,GUM_RAD_CT1,Gumti,Gananagar,Radharambari,Sardinkhapara,13-03-2024,-
72,Policy Advocacy and Reasearch Centre (PARC),Tripura,Radharambari,THT18,23.738361,91.799889,118,72,GUM_RAD_CT2,Gumti,Gananagar,Radharambari,Karmapara,13-03-2024,-
73,Policy Advocacy and Reasearch Centre (PARC),Tripura,Ganganagar,P8,23.747778,91.849444,130,73,GUM_GAN_CT3,Gumti,Ganganagar,Ganganagar,Panchajoy Para,13-03-2024,-
74,Policy Advocacy and Reasearch Centre (PARC),Tripura,Ganganagar,THT10,23.747222,91.849444,130,74,GUM_GAN_CT3,Gumti,Ganganagar,Ganganagar,Panchajoy Para,13-03-2024,-
75,Policy Advocacy and Reasearch Centre (PARC),Tripura,Ekjancharra,THT17,23.64525,91.734683,145,75,GUM_EKC_CT1,Gumti,Ampi,Ekjancharra,Debendrapara,13-03-2024,-
76,Policy Advocacy and Reasearch Centre (PARC),Tripura,Ekjancharra,P13,23.64525,91.734683,145,76,GUM_EKC_CT1,Gumti,Ampi,Ekjancharra,Debendrapara,13-03-2024,-
77,Policy Advocacy and Reasearch Centre (PARC),Tripura,Dangabari,THT22,23.695783,91.902433,119,77,GUM_DAN_CT1,Gumti,Ganganagar,Dangabari,Nobokumarpara,14-03-2024,-
78,Policy Advocacy and Reasearch Centre (PARC),Tripura,Dangabari,P17,23.695783,91.902433,119,78,GUM_DAN_CT1,Gumti,Ganganagar,Dangabari,Nobokumarpara,14-03-2024,-
79,Policy Advocacy and Reasearch Centre (PARC),Tripura,Dyke 4,THT35,23.498806,91.800528,106,79,GUM_DYK_CT1,Gumti,Raishyabri,Dyke 4,Tarmo Adam,14-03-2024,-
80,Policy Advocacy and Reasearch Centre (PARC),Tripura,Dyke 4,THT15,23.498806,91.800528,106,80,GUM_DYK_CT1,Gumti,Raishyabri,Dyke 4,Tarmo Adam,14-03-2024,-
81,Policy Advocacy and Reasearch Centre (PARC),Tripura,Dangabari,P2,23.705278,91.853611,-,81,GUM_DAN_CT1,Gumti,Ganganagar,Dangabari,Dangabari,14-03-2024,-
82,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT02,23.714639,91.766167,184,82,GUM_KAK_CT1,Gumti,Mungiakami,Kakrachera,Bukho para,19-03-2024,-
83,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT04,23.714639,91.766167,184,83,GUM_KAK_CT1,Gumti,Mungiakami,Kakrachera,Bukho para,19-03-2024,-
84,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT07,23.803111,91.776972,-,84,GUM_KAK_CT2,Gumti,Mungiakami,Kakrachera,Nunachora,19-03-2024,-
85,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT08,23.803111,91.776972,-,85,GUM_KAK_CT2,Gumti,Mungiakami,Kakrachera,Nunachora,19-03-2024,-
86,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT 11,23.806111,91.731111,-,86,GUM_KAK_CT3,Gumti,Mungiakami,Kakrachera,Hakudia,19-03-2024,-
87,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT32,23.806111,91.731111,-,87,GUM_KAK_CT3,Gumti,Mungiakami,Kakrachera,Haludia,19-03-2024,-
88,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT40,23.783117,91.741467,139,88,GUM_KAK_CT4,Gumti,Mungiakami,Kakrachera,Tikolpara,19-03-2024,-
89,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT38,23.783117,91.741467,139,89,GUM_KAK_CT4,Gumti,Mungiakami,Kakrachera,Tikolpara,19-03-2024,-
90,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT14,23.798583,91.735017,153,90,GUM_KAK_CT5,Gumti,Mungiakami,Kakrachera,Kakrachera,19-03-2024,-
91,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT01,23.765672,91.727386,184,91,GUM_KAK_CT6,Gumti,Mungiakami,Kakrachera,Datamosampara,19-03-2024,-
92,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kakrachera,THT09,23.763978,91.730617,203,92,GUM_KAK_CT5,Gumti,Mungiakami,Kakrachera,Datamosampara,19-03-2024,-
93,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sarbong,THT05,23.606,91.753944,138,93,GUM_SAR_CT1,Gumti,Amarpur,Sarbong,Chandrakumar para,22-03-2024,-
94,Policy Advocacy and Reasearch Centre (PARC),Tripura,Nutanbazzar,THT21,23.489864,91.775078,122,94,GUM_NUT_CT1,Gumti,Amarpur,Nutanbazzar,Tularampara,23-03-2024,-
95,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Tamhini khind,"T59, T72",18.42765,73.45266,853,1,"T59, T72",-,Paud,Tamhini khind,Tamhini khind,18-05-2025,Open forest
96,Policy Advocacy and Reasearch Centre (PARC),Maharastra,"Mugaon, Bhuini","T49, T50",18.432683,73.501483,1110,2,"T49, T50",-,Paud,Mugaon,Mugaon,18-05-2025,Plateau
97,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Temghar,"T76, T73",18.42785,73.5221,1081,3,"T76, T73",-,Paud,Temgahr,Temgahr,18-05-2025,Fairly dense near the road
98,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Watunde,"T41, T34",18.42932,73.59072,987,4,"T41, T34",-,Paud,Watunde (Wajale),Watunde (Wajale),22-05-2025,Dried stream below plateau
99,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Mutha,"T48, T77",18.42691,73.60954,971,5,"T48, T77",-,Paud,"Mutha, Malegaon","Mutha, Malegaon",19-05-2025,Heavily disturbed forest
100,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Dhamanohol,"T53, T42",18.37666,73.43561,718,6,"T53, T42",-,Paud,Paud,Paud,17-05-2025,Dense forest
