Sl_no,Project_partner,State,Location,CT_no,Latitude,Longitude,Altitude,Grid_no,CT_loc_ID,PA_name,Range,Beat,Nearest_village,Date_of_Deployment,Habitat_type
141,Sahjeevan,Gujarat,Chotila,179,22.272351,71.200303,-,33,DEPCHOB001,-,-,-,-,18-03-2025,Vidi
142,Sahjeevan,Gujarat,Chotila,176,22.254602,71.196862,-,34,DEPCHOB002,-,-,-,-,18-03-2025,Vidi
143,Sahjeevan,Gujarat,Chotila,1279A3005106,22.253971,71.125171,-,6,DEPFUL001,-,-,-,-,20-03-2025,Vidi
144,Sahjeevan,Gujarat,Chotila,1279A3005104,22.275712,71.145857,-,12,DEPGUNDA001,-,-,-,-,13-03-2025,Agricultural Land
145,Sahjeevan,Gujarat,Chotila,1279A3001873,22.274695,71.124307,-,5,DEPGUNDA002,-,-,-,-,13-03-2025,Reserved Forest
146,Sahjeevan,Gujarat,Chotila,1279A3005110,22.239008,71.145192,-,14,DEPJIV001,-,-,-,-,28-03-2025,Reserved Forest
147,Sahjeevan,Gujarat,Chotila,1279A3004889,22.256759,71.147248,-,13,DEPJIV002,-,-,-,-,29-03-2025,Agricultural Land
148,Sahjeevan,Gujarat,Chotila,1279A3004950,22.234731,71.156169,-,21,DEPJIV003,-,-,-,-,03-04-2025,Reserved Forest
149,Sahjeevan,Gujarat,Chotila,1279A3004888,22.288846,71.145049,-,11,DEPKAB001,-,-,-,-,21-03-2025,Vidi
150,Sahjeevan,Gujarat,Chotila,178/177,22.305116,71.140904,-,10,DEPKAB002,-,-,-,-,18-03-2025,Vidi
151,Sahjeevan,Gujarat,Chotila,1279A3005109,22.301095,71.132228,-,4,DEPKAB003,-,-,-,-,21-03-2025,Vidi
152,Sahjeevan,Gujarat,Chotila,1279A3004947,22.331031,71.204588,-,30,DEPKHER001,-,-,-,-,04-03-2025,Reserved Forest
153,Sahjeevan,Gujarat,Chotila,1279A3004887,22.312497,71.181772,-,24,DEPKHER002,-,-,-,-,21-03-2025,Agricultural Land
154,Sahjeevan,Gujarat,Chotila,1279A3005108,22.314266,71.203179,-,31,DEPKHER003,-,-,-,-,21-03-2025,Revenue Wasteland
155,Sahjeevan,Gujarat,Chotila,170,22.290331,71.180559,-,25,DEPMAHI001,-,-,-,-,18-03-2025,Vidi
156,Sahjeevan,Gujarat,Chotila,171,22.274709,71.182649,-,26,DEPMAHI002,-,-,-,-,18-03-2025,Reserve Forest
157,Sahjeevan,Gujarat,Chotila,175,22.290169,71.18048,-,25,DEPMAHIFOXDEN,-,-,-,-,18-03-2025,Vidi
158,Sahjeevan,Gujarat,Chotila,1279A3005110,22.342404,71.200836,-,29,DEPMOK001,-,-,-,-,21-03-2025,Vidi
159,Sahjeevan,Gujarat,Chotila,1279A3005103,22.348161,71.125301,-,1,DEPRAJ001,-,-,-,-,06-03-2025,Reserved Forest
160,Sahjeevan,Gujarat,Chotila,1279A3005101,22.343928,71.149364,-,7,DEPRAJ002,-,-,-,-,13-03-2025,Vidi
161,Sahjeevan,Gujarat,Chotila,1279A3005107,22.330091,71.12623,-,2,DEPRAJ003,-,-,-,-,06-03-2025,Agricultural Land
162,Sahjeevan,Gujarat,Chotila,1279A3005102,22.329679,71.145358,-,9,DEPRAJ004,-,-,-,-,13-03-2025,Vidi
163,Sahjeevan,Gujarat,Chotila,1279A3004941,22.330548,71.164757,-,16,DEPRAJ005,-,-,-,-,05-03-2025,Agricultural Land
164,Sahjeevan,Gujarat,Chotila,174,22.313879,71.126327,-,3,DEPRAJ006,-,-,-,-,18-03-2025,Agricultural Land
165,Sahjeevan,Gujarat,Chotila,173,22.31718,71.16398,-,17,DEPRAJ008,-,-,-,-,18-03-2025,Vidi
166,Sahjeevan,Gujarat,Chotila,172,22.344551,71.158094,-,15,DEPRESH002,-,-,-,-,18-03-2025,Gauchar
167,Sahjeevan,Gujarat,Chotila,177,22.349046,71.188171,-,22,DEPRESH003,-,-,-,-,18-03-2025,Agricultural Land
168,Sahjeevan,Gujarat,Chotila,1279A3005021,22.330261,71.1848,-,23,DEPRESH004,-,-,-,-,04-03-2025,Agricultural Land
169,Sahjeevan,Gujarat,Chotila,-,22.289765,71.198867,-,32,DEPSOD001,-,-,-,-,21-03-2025,Agricultural Land
170,Sahjeevan,Gujarat,Chotila,1279A3001878,22.309479,71.175592,-,24,KHERHYENA,-,-,-,-,03-03-2025,Vidi
171,Sahjeevan,Gujarat,Gugaliyana,172,22.533989,71.250761,-,-,DEPGUG01,-,-,-,-,03-12-2024,Reserved Forest
172,Sahjeevan,Gujarat,Gugaliyana,177,22.534483,71.250236,-,-,DEPGUG02,-,-,-,-,03-12-2024,Reserved Forest
173,Sahjeevan,Gujarat,Gugaliyana,174,22.534486,71.251467,-,-,DEPGUG06,-,-,-,-,03-12-2024,Reserved Forest
174,Sahjeevan,Gujarat,Gugaliyana,179,22.534042,71.254189,-,-,DEPGUG07,-,-,-,-,16-12-2024,Reserved Forest
175,Sahjeevan,Gujarat,Gugaliyana,175,22.534336,71.255881,-,-,DEPGUG08,-,-,-,-,16-12-2024,Reserved Forest
176,Sahjeevan,Gujarat,Gugaliyana,173,22.535817,71.253478,-,-,DEPGUG09,-,-,-,-,16-12-2024,Reserved Forest
177,Sahjeevan,Gujarat,Gugaliyana,170,22.535617,71.253294,-,-,DEPGUG10,-,-,-,-,16-12-2024,Reserved Forest
178,Sahjeevan,Gujarat,Gugaliyana,176,22.535714,71.253189,-,-,DEPGUG11,-,-,-,-,16-12-2024,Reserved Forest
179,Sahjeevan,Gujarat,Gugaliyana,171,22.538142,71.251214,-,-,DEPGUG12,-,-,-,-,16-12-2024,Reserved Forest
180,Sahjeevan,Gujarat,Gugaliyana,178,22.535178,71.249353,-,-,DEPGUG13,-,-,-,-,16-12-2024,Reserved Forest
181,Sahjeevan,Gujarat,Gugaliyana,173,22.535481,71.255142,-,-,DEPGUG14,-,-,-,-,27-12-2024,Reserved Forest
182,Sahjeevan,Gujarat,Gugaliyana,1279A3005110,22.527542,71.255769,-,-,DEPGUG15,-,-,-,-,30-12-2024,Reserved Forest
183,Sahjeevan,Gujarat,Gugaliyana,1279A3005021,22.527731,71.257212,-,-,DEPGUG16,-,-,-,-,30-12-2024,Reserved Forest
184,Sahjeevan,Gujarat,Gugaliyana,1279A3005108,22.530568,71.258538,-,-,DEPGUG17,-,-,-,-,30-12-2024,Reserved Forest
185,Sahjeevan,Gujarat,Gugaliyana,1279A3005104,22.524008,71.256066,-,-,DEPGUG18,-,-,-,-,30-12-2024,Reserved Forest
186,Sahjeevan,Gujarat,Gugaliyana,1279A3005103,22.522686,71.2554,-,-,DEPGUG19,-,-,-,-,30-12-2024,Reserved Forest
187,Sahjeevan,Gujarat,Gugaliyana,1279A3005106,22.523048,71.252658,-,-,DEPGUG20,-,-,-,-,30-12-2024,Reserved Forest
188,Sahjeevan,Gujarat,Gugaliyana,1279A3001873,22.522936,71.251094,-,-,DEPGUG21,-,-,-,-,30-12-2024,Reserved Forest
189,Sahjeevan,Gujarat,Gugaliyana,1279A3005101,22.550158,71.2628,-,-,DEPGUG22,-,-,-,-,03-01-2025,Reserved Forest
190,Sahjeevan,Gujarat,Gugaliyana,1279A3005102,22.550783,71.260361,-,-,DEPGUG23,-,-,-,-,03-01-2025,Reserved Forest
191,Sahjeevan,Gujarat,Gugaliyana,178,22.548918,71.258797,-,-,DEPGUG24,-,-,-,-,03-01-2025,Reserved Forest
192,Sahjeevan,Gujarat,Gugaliyana,1279A3005109,22.548653,71.266394,-,-,DEPGUG25,-,-,-,-,03-01-2025,Reserved Forest
193,Sahjeevan,Gujarat,Gugaliyana,1279A3005021,22.538608,71.260439,-,-,DEPGUG26,-,-,-,-,12-02-2025,Reserved Forest
194,Sahjeevan,Gujarat,Gugaliyana,1279A3005110,22.534294,71.258753,-,-,DEPGUG27,-,-,-,-,12-02-2025,Reserved Forest
195,Sahjeevan,Gujarat,Gugaliyana,1279A3005103,22.536442,71.258472,-,-,DEPGUG28,-,-,-,-,12-02-2025,Reserved Forest
196,Sahjeevan,Gujarat,Gugaliyana,1279A3005104,22.543753,71.265639,-,-,DEPGUG29,-,-,-,-,17-02-2025,Reserved Forest
197,Sahjeevan,Gujarat,Gugaliyana,1279A3005109,22.538519,71.267056,-,-,DEPGUG30,-,-,-,-,17-02-2025,Reserved Forest
198,Sahjeevan,Gujarat,Gugaliyana,1279A3001873,22.540125,71.267911,-,-,DEPGUG31,-,-,-,-,17-02-2025,Reserved Forest
199,Sahjeevan,Gujarat,Gugaliyana,1279A3005101,22.538842,71.268881,-,-,DEPGUG32,-,-,-,-,17-02-2025,Reserved Forest
200,Sahjeevan,Gujarat,Gugaliyana,1279A3005102,22.537783,71.262014,-,-,DEPGUG33,-,-,-,-,17-02-2025,Reserved Forest
201,Sahjeevan,Gujarat,Gugaliyana,1279A3005108,22.540516,71.259818,-,-,DEPGUG34,-,-,-,-,17-02-2025,Reserved Forest
202,Sahjeevan,Gujarat,Vavdi,179,22.512758,71.247773,-,-,DEPVAV01,-,-,-,-,18-02-2025,Reserved Forest
203,Sahjeevan,Gujarat,Vavdi,177,22.511909,71.24918,-,-,DEPVAV02,-,-,-,-,18-02-2025,Reserved Forest
204,Sahjeevan,Gujarat,Vavdi,172,22.512898,71.249972,-,-,DEPVAV03,-,-,-,-,18-02-2025,Reserved Forest
205,Sahjeevan,Gujarat,Vavdi,1279A3004883,22.513289,71.250989,-,-,DEPVAV04,-,-,-,-,18-02-2025,Reserved Forest
206,Sahjeevan,Gujarat,Vavdi,173,22.512606,71.251215,-,-,DEPVAV05,-,-,-,-,18-02-2025,Reserved Forest
207,Sahjeevan,Gujarat,Vavdi,1279A3004889,22.513803,71.252815,-,-,DEPVAV06,-,-,-,-,18-02-2025,Reserved Forest
208,Sahjeevan,Gujarat,Vavdi,1279A3005106,22.513448,71.252514,-,-,DEPVAV07,-,-,-,-,18-02-2025,Reserved Forest
209,Sahjeevan,Gujarat,Vavdi,1279A3004944,22.514391,71.253162,-,-,DEPVAV08,-,-,-,-,18-02-2025,Reserved Forest
210,Sahjeevan,Gujarat,Vavdi,170,22.515289,71.250742,-,-,DEPVAV09,-,-,-,-,18-02-2025,Reserved Forest
211,Sahjeevan,Gujarat,Vavdi,175,22.515873,71.252651,-,-,DEPVAV10,-,-,-,-,18-02-2025,Reserved Forest
212,Sahjeevan,Gujarat,Vavdi,171,22.518713,71.251834,-,-,DEPVAV11,-,-,-,-,18-02-2025,Reserved Forest
213,Sahjeevan,Gujarat,Vavdi,176,22.518587,71.250069,-,-,DEPVAV12,-,-,-,-,18-02-2025,Reserved Forest
214,Sahjeevan,Gujarat,Vavdi,1279A3004942,22.518064,71.249268,-,-,DEPVAV13,-,-,-,-,18-02-2025,Reserved Forest
215,Sahjeevan,Gujarat,Vavdi,174,22.519359,71.248689,-,-,DEPVAV14,-,-,-,-,18-02-2025,Reserved Forest
216,Sahjeevan,Gujarat,Vavdi,1279A3004888,22.517202,71.249253,-,-,DEPVAV15,-,-,-,-,19-02-2025,Reserved Forest
217,Sahjeevan,Gujarat,Vavdi,1279A3004950,22.518508,71.248529,-,-,DEPVAV16,-,-,-,-,19-02-2025,Reserved Forest
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
