Location,Camera trap no.,Latitude,Longitude,Altitude,Trap location,PA name,Range,Beat,Nearest village,Date of deployment
Gumti,P14,"N 23°46'04.46""","E 91°46'52.51""",133,GUM_KAR_CT1,Gumti,Ganganagar,karmapara,Paltanpara,12-Mar-24
Gumti,THT12,"N 23°46'04.46""","E 91°46'52.51""",133,GUM_KAR_CT1,Gumti,Ganganagar,karmapara,Paltanpara,12-Mar-24
Gumti,P6,N 23°46.004',E 91°49.634',115,GUM_GANG_CT1,Gumti,Ganganagar,Ganganagar,Gumseng,12-Mar-24
Gumti,THT27,N 23°45.906',E 91°49.702',138,GUM_GANG_CT1,Gumti,Ganganagar,Ganganagar,Gumseng,12-Mar-24
Gumti,P15,"N 23°44'39""","E 91°48'54""",,GUM_GANG_CT2,Gumti,Ganganagar,Ganganagar,Radharambari,12-Mar-24
Gumti,P19,"N 23°42'18.6""","E 91°47'30.3""",116,GUM_RAD_CT1,Gumti,Gananagar,Radharambari,Sardinkhapara,13-Mar-24
Gumti,THT18,"N 23°44'18.1""","E 91°47'59.6""",118,GUM_RAD_CT2,Gumti,Gananagar,Radharambari,Karmapara,13-Mar-24
Gumti,P8,"N 23°44'52""","E 91°50'58""",130,GUM_GAN_CT3,Gumti,Ganganagar,Ganganagar,Panchajoy Para,13-Mar-24
Gumti,THT10,"N 23°44'50""","E 91°50'58""",130,GUM_GAN_CT3,Gumti,Ganganagar,Ganganagar,Panchajoy Para,13-Mar-24
Gumti,THT17,N 23°38.715',E 91°44.081',145,GUM_EKC_CT1,Gumti,Ampi,Ekjancharra,Debendrapara,13-Mar-24
Gumti,P13,N 23°38.715',E 91°44.081',145,GUM_EKC_CT1,Gumti,Ampi,Ekjancharra,Debendrapara,13-Mar-24
Gumti,THT22,N 23°41.747',E 91°54.146',119,GUM_DAN_CT1,Gumti,Ganganagar,Dangabari,Nobokumarpara,14-Mar-24
Gumti,P17,N 23°41.747',E 91°54.146',119,GUM_DAN_CT1,Gumti,Ganganagar,Dangabari,Nobokumarpara,14-Mar-24
Gumti,THT35,"N 23°29'55.7""","E 91°48'01.9""",106,GUM_DYK_CT1,Gumti,Raishyabri,Dyke 4,Tarmo Adam,14-Mar-24
Gumti,THT15,"N 23°29'55.7""","E 91°48'01.9""",106,GUM_DYK_CT1,Gumti,Raishyabri,Dyke 4,Tarmo Adam,14-Mar-24
Gumti,P2,"N 23°42'19""","E 91°51'13""",,GUM_DAN_CT1,Gumti,Ganganagar,Dangabari,Dangabari,14-Mar-24
Gumti,THT02,"N 23°42'52.7""","E 91°45'58.2""",184,GUM_KAK_CT1,Gumti,Mungiakami,Kakrachera,Bukho para,19-Mar-24
Gumti,THT04,"N 23°42'52.7""","E 91°45'58.2""",184,GUM_KAK_CT1,Gumti,Mungiakami,Kakrachera,Bukho para,19-Mar-24
Gumti,THT07,"N 23°48'11.2""","E 91°46'37.1""",,GUM_KAK_CT2,Gumti,Mungiakami,Kakrachera,Nunachora,19-Mar-24
Gumti,THT08,"N 23°48'11.2""","E 91°46'37.1""",,GUM_KAK_CT2,Gumti,Mungiakami,Kakrachera,Nunachora,19-Mar-24
Gumti,THT 11,"N 23°48'22""","E 91°43'52""",,GUM_KAK_CT3,Gumti,Mungiakami,Kakrachera,Hakudia,19-Mar-24
Gumti,THT32,"N 23°48'22""","E 91°43'52""",,GUM_KAK_CT3,Gumti,Mungiakami,Kakrachera,Haludia,19-Mar-24
Gumti,THT40,N 23°46.987',E 91°44.488',139,GUM_KAK_CT4,Gumti,Mungiakami,Kakrachera,Tikolpara,19-Mar-24
Gumti,THT38,N 23°46.987',E 91°44.488',139,GUM_KAK_CT4,Gumti,Mungiakami,Kakrachera,Tikolpara,19-Mar-24
Gumti,THT14,N 23°47.915',E 91°44.101',153,GUM_KAK_CT5,Gumti,Mungiakami,Kakrachera,Kakrachera,19-Mar-24
Gumti,THT01,"N 23°45'56.42""","E 91°43'38.59""",184,GUM_KAK_CT6,Gumti,Mungiakami,Kakrachera,Datamosampara,19-Mar-24
Gumti,THT09,"N 23°45'50.32""","E 91°43'50.22""",203,GUM_KAK_CT5,Gumti,Mungiakami,Kakrachera,Datamosampara,19-Mar-24
Gumti,THT05,"N 23°36'21.6""","E 91°45'14.2""",138,GUM_SAR_CT1,Gumti,Amarpur,Sarbong,Chandrakumar para,22-Mar-24
Gumti,THT21,"N 23°29'23.51""","E 91°46'30.28""",122,GUM_NUT_CT1,Gumti,Amarpur,Nutanbazzar,Tularampara,23-Mar-24
